comment,tone
Makes sense.,neutral
Can you tell me more?,curious
I'm feeling great about this.,happy
Thanks.,neutral
This is thrilling!,excited
Why is this so difficult?,frustrated
I'm tired of trying.,frustrated
I love this activity.,happy
Alright.,neutral
I'm not engaged.,bored
Sure.,neutral
I can't wait to try this!,excited
This is so exciting!,excited
Got it.,neutral
"Wow, this is cool!",excited
This is taking forever!,frustrated
This doesn't make sense to me.,confused
Why is this so complicated?,confused
I'm zoning out.,bored
When will this be over?,bored
This makes me think!,curious
I'm getting sleepy.,bored
This is dragging on.,bored
I see.,neutral
I'm curious about the next step.,curious
I'm so happy I figured it out.,happy
Let's gooo!,excited
This is really confusing.,confused
This isn't very fun.,bored
"Ugh, this is so annoying.",frustrated
That was satisfying.,happy
Can we do something else?,bored
That's interesting!,curious
Can you explain that again?,confused
This is amazing!,excited
Nothing is working!,frustrated
"I thought I understood, but now I'm not sure.",confused
This is so hard!,frustrated
What happens if I try this?,curious
That was fun!,happy
I wonder why that works.,curious
How does that happen?,curious
I'm not really interested in this.,bored
I'm totally lost here.,confused
Why does it do that?,curious
I'm enjoying this a lot.,happy
I keep getting it wrong.,frustrated
I'm about to give up.,frustrated
I'm getting really frustrated.,frustrated
This makes me smile.,happy
This feels repetitive.,bored
What do you mean by that?,confused
I'm pumped for this!,excited
I don't get it.,confused
Okay.,neutral
This is the best part!,excited
Noted.,neutral
"Wait, what just happened?",confused
That was easy and fun!,happy
What if I change this part?,curious
I want to learn more about this.,curious
I'm not sure I understand this.,confused
Fine.,neutral
"Yay, I got it right!",happy
I'm super excited!,excited
Understood.,neutral
I love learning this!,excited
This is kind of boring.,bored
Why won't this work?,frustrated
This is awesome!,happy